,location,date,vaccine,total_vaccinations
246,Belgium,2021-01-29,Oxford/AstraZeneca,0
247,Belgium,2021-01-29,Pfizer/BioNTech,335838
248,Belgium,2021-02-05,Johnson&Johnson,0
249,Belgium,2021-02-05,Moderna,16168
250,Belgium,2021-02-05,Oxford/AstraZeneca,0
251,Belgium,2021-02-05,Pfizer/BioNTech,465429
252,Belgium,2021-02-12,Johnson&Johnson,0
253,Belgium,2021-02-12,Moderna,25848
254,Belgium,2021-02-12,Oxford/AstraZeneca,420
255,Belgium,2021-02-12,Pfizer/BioNTech,601521
256,Belgium,2021-02-19,Johnson&Johnson,0
257,Belgium,2021-02-19,Moderna,30710
258,Belgium,2021-02-19,Oxford/AstraZeneca,11084
259,Belgium,2021-02-19,Pfizer/BioNTech,702612
260,Belgium,2021-02-26,Johnson&Johnson,0
261,Belgium,2021-02-26,Moderna,33252
262,Belgium,2021-02-26,Oxford/AstraZeneca,45900
263,Belgium,2021-02-26,Pfizer/BioNTech,791792
264,Belgium,2021-03-05,Johnson&Johnson,0
265,Belgium,2021-03-05,Moderna,52253
266,Belgium,2021-03-05,Oxford/AstraZeneca,110977
267,Belgium,2021-03-05,Pfizer/BioNTech,881520
268,Belgium,2021-03-12,Johnson&Johnson,0
269,Belgium,2021-03-12,Moderna,68312
270,Belgium,2021-03-12,Oxford/AstraZeneca,192597
271,Belgium,2021-03-12,Pfizer/BioNTech,978550
272,Belgium,2021-03-19,Johnson&Johnson,0
273,Belgium,2021-03-19,Moderna,90934
274,Belgium,2021-03-19,Oxford/AstraZeneca,352464
275,Belgium,2021-03-19,Pfizer/BioNTech,1089573
276,Belgium,2021-03-26,Johnson&Johnson,0
277,Belgium,2021-03-26,Moderna,101422
278,Belgium,2021-03-26,Oxford/AstraZeneca,463688
279,Belgium,2021-03-26,Pfizer/BioNTech,1287033
280,Belgium,2021-04-02,Johnson&Johnson,0
281,Belgium,2021-04-02,Moderna,129458
282,Belgium,2021-04-02,Oxford/AstraZeneca,524053
283,Belgium,2021-04-02,Pfizer/BioNTech,1546604
284,Belgium,2021-04-09,Johnson&Johnson,0
285,Belgium,2021-04-09,Moderna,176924
286,Belgium,2021-04-09,Oxford/AstraZeneca,604071
287,Belgium,2021-04-09,Pfizer/BioNTech,1865826
288,Belgium,2021-04-16,Johnson&Johnson,0
289,Belgium,2021-04-16,Moderna,211825
290,Belgium,2021-04-16,Oxford/AstraZeneca,785188
291,Belgium,2021-04-16,Pfizer/BioNTech,2144211
292,Belgium,2021-04-23,Johnson&Johnson,0
293,Belgium,2021-04-23,Moderna,263503
294,Belgium,2021-04-23,Oxford/AstraZeneca,842470
295,Belgium,2021-04-23,Pfizer/BioNTech,2462461
296,Belgium,2021-04-30,Johnson&Johnson,3149
297,Belgium,2021-04-30,Moderna,290801
298,Belgium,2021-04-30,Oxford/AstraZeneca,908306
299,Belgium,2021-04-30,Pfizer/BioNTech,2819517
300,Belgium,2021-05-07,Johnson&Johnson,24349
301,Belgium,2021-05-07,Moderna,348965
302,Belgium,2021-05-07,Oxford/AstraZeneca,1011629
303,Belgium,2021-05-07,Pfizer/BioNTech,3373075
304,Belgium,2021-05-14,Johnson&Johnson,30303
305,Belgium,2021-05-14,Moderna,403813
306,Belgium,2021-05-14,Oxford/AstraZeneca,1105148
307,Belgium,2021-05-14,Pfizer/BioNTech,3826117
308,Belgium,2021-05-21,Johnson&Johnson,51142
309,Belgium,2021-05-21,Moderna,506028
310,Belgium,2021-05-21,Oxford/AstraZeneca,1372487
311,Belgium,2021-05-21,Pfizer/BioNTech,4196761
312,Belgium,2021-05-28,Johnson&Johnson,75177
313,Belgium,2021-05-28,Moderna,580635
314,Belgium,2021-05-28,Oxford/AstraZeneca,1472870
315,Belgium,2021-05-28,Pfizer/BioNTech,4640414
316,Belgium,2021-06-04,Johnson&Johnson,99230
317,Belgium,2021-06-04,Moderna,657172
318,Belgium,2021-06-04,Oxford/AstraZeneca,1576680
319,Belgium,2021-06-04,Pfizer/BioNTech,5341054
320,Belgium,2021-06-11,Johnson&Johnson,145774
321,Belgium,2021-06-11,Moderna,743734
322,Belgium,2021-06-11,Oxford/AstraZeneca,1764613
323,Belgium,2021-06-11,Pfizer/BioNTech,6094593
324,Belgium,2021-06-18,Johnson&Johnson,215374
325,Belgium,2021-06-18,Moderna,850269
326,Belgium,2021-06-18,Oxford/AstraZeneca,1899997
327,Belgium,2021-06-18,Pfizer/BioNTech,6809934
328,Belgium,2021-06-25,Johnson&Johnson,246560
329,Belgium,2021-06-25,Moderna,963151
330,Belgium,2021-06-25,Oxford/AstraZeneca,1969650
331,Belgium,2021-06-25,Pfizer/BioNTech,7472169
332,Belgium,2021-07-02,Johnson&Johnson,270337
333,Belgium,2021-07-02,Moderna,1046965
334,Belgium,2021-07-02,Oxford/AstraZeneca,2070033
335,Belgium,2021-07-02,Pfizer/BioNTech,7943685
336,Belgium,2021-07-09,Johnson&Johnson,285658
337,Belgium,2021-07-09,Moderna,1108895
338,Belgium,2021-07-09,Oxford/AstraZeneca,2297574
339,Belgium,2021-07-09,Pfizer/BioNTech,8481759
340,Belgium,2021-07-16,Johnson&Johnson,304056
341,Belgium,2021-07-16,Moderna,1163899
342,Belgium,2021-07-16,Oxford/AstraZeneca,2452395
343,Belgium,2021-07-16,Pfizer/BioNTech,8991743
344,Belgium,2021-07-23,Johnson&Johnson,314918
345,Belgium,2021-07-23,Moderna,1217689
346,Belgium,2021-07-23,Oxford/AstraZeneca,2558924
347,Belgium,2021-07-23,Pfizer/BioNTech,9545779
348,Belgium,2021-07-30,Johnson&Johnson,324417
349,Belgium,2021-07-30,Moderna,1248879
350,Belgium,2021-07-30,Oxford/AstraZeneca,2650622
351,Belgium,2021-07-30,Pfizer/BioNTech,10056992
352,Belgium,2021-08-06,Johnson&Johnson,333843
353,Belgium,2021-08-06,Moderna,1272592
354,Belgium,2021-08-06,Oxford/AstraZeneca,2711431
355,Belgium,2021-08-06,Pfizer/BioNTech,10416896
356,Belgium,2021-08-13,Johnson&Johnson,341325
357,Belgium,2021-08-13,Moderna,1290168
358,Belgium,2021-08-13,Oxford/AstraZeneca,2824673
359,Belgium,2021-08-13,Pfizer/BioNTech,10569423
360,Belgium,2021-08-20,Johnson&Johnson,347562
361,Belgium,2021-08-20,Moderna,1301748
362,Belgium,2021-08-20,Oxford/AstraZeneca,2834404
363,Belgium,2021-08-20,Pfizer/BioNTech,10669602
364,Belgium,2021-08-27,Johnson&Johnson,353384
365,Belgium,2021-08-27,Moderna,1309653
366,Belgium,2021-08-27,Oxford/AstraZeneca,2838086
367,Belgium,2021-08-27,Pfizer/BioNTech,10742231
368,Belgium,2021-09-03,Johnson&Johnson,359403
369,Belgium,2021-09-03,Moderna,1318983
370,Belgium,2021-09-03,Oxford/AstraZeneca,2840651
371,Belgium,2021-09-03,Pfizer/BioNTech,10795967
372,Belgium,2021-09-10,Johnson&Johnson,364376
373,Belgium,2021-09-10,Moderna,1325575
374,Belgium,2021-09-10,Oxford/AstraZeneca,2841762
375,Belgium,2021-09-10,Pfizer/BioNTech,10838183
376,Belgium,2021-09-17,Johnson&Johnson,371027
377,Belgium,2021-09-17,Moderna,1332045
378,Belgium,2021-09-17,Oxford/AstraZeneca,2842751
379,Belgium,2021-09-17,Pfizer/BioNTech,10890141
380,Belgium,2021-09-24,Johnson&Johnson,377937
381,Belgium,2021-09-24,Moderna,1336396
382,Belgium,2021-09-24,Oxford/AstraZeneca,2843387
383,Belgium,2021-09-24,Pfizer/BioNTech,10988488
384,Belgium,2021-10-01,Johnson&Johnson,383010
385,Belgium,2021-10-01,Moderna,1342825
386,Belgium,2021-10-01,Oxford/AstraZeneca,2843791
387,Belgium,2021-10-01,Pfizer/BioNTech,11119707
388,Belgium,2021-10-08,Johnson&Johnson,387024
389,Belgium,2021-10-08,Moderna,1345465
390,Belgium,2021-10-08,Oxford/AstraZeneca,2843973
391,Belgium,2021-10-08,Pfizer/BioNTech,11285828
392,Belgium,2021-10-15,Johnson&Johnson,391080
393,Belgium,2021-10-15,Moderna,1349115
394,Belgium,2021-10-15,Oxford/AstraZeneca,2844157
395,Belgium,2021-10-15,Pfizer/BioNTech,11456961
396,Belgium,2021-10-22,Johnson&Johnson,394863
397,Belgium,2021-10-22,Moderna,1353495
398,Belgium,2021-10-22,Oxford/AstraZeneca,2844277
399,Belgium,2021-10-22,Pfizer/BioNTech,11587866
400,Belgium,2021-10-29,Johnson&Johnson,399252
401,Belgium,2021-10-29,Moderna,1357887
402,Belgium,2021-10-29,Oxford/AstraZeneca,2844366
403,Belgium,2021-10-29,Pfizer/BioNTech,11732064
404,Belgium,2021-11-05,Johnson&Johnson,403504
405,Belgium,2021-11-05,Moderna,1364922
406,Belgium,2021-11-05,Oxford/AstraZeneca,2844415
407,Belgium,2021-11-05,Pfizer/BioNTech,11840617
408,Belgium,2021-11-12,Johnson&Johnson,407208
409,Belgium,2021-11-12,Moderna,1375691
410,Belgium,2021-11-12,Oxford/AstraZeneca,2844468
411,Belgium,2021-11-12,Pfizer/BioNTech,11973061
412,Belgium,2021-11-19,Johnson&Johnson,409506
413,Belgium,2021-11-19,Moderna,1401005
414,Belgium,2021-11-19,Oxford/AstraZeneca,2844515
415,Belgium,2021-11-19,Pfizer/BioNTech,12251351
416,Belgium,2021-11-26,Johnson&Johnson,411438
417,Belgium,2021-11-26,Moderna,1490176
418,Belgium,2021-11-26,Oxford/AstraZeneca,2844555
419,Belgium,2021-11-26,Pfizer/BioNTech,12651977
420,Belgium,2021-12-03,Johnson&Johnson,412610
421,Belgium,2021-12-03,Moderna,1586943
422,Belgium,2021-12-03,Oxford/AstraZeneca,2844583
423,Belgium,2021-12-03,Pfizer/BioNTech,13149776
424,Belgium,2021-12-10,Johnson&Johnson,413435
425,Belgium,2021-12-10,Moderna,1660002
426,Belgium,2021-12-10,Oxford/AstraZeneca,2844598
427,Belgium,2021-12-10,Pfizer/BioNTech,13705072
428,Belgium,2021-12-17,Johnson&Johnson,414389
429,Belgium,2021-12-17,Moderna,1782538
430,Belgium,2021-12-17,Oxford/AstraZeneca,2844608
431,Belgium,2021-12-17,Pfizer/BioNTech,14301138
432,Belgium,2021-12-24,Johnson&Johnson,414770
433,Belgium,2021-12-24,Moderna,2116388
434,Belgium,2021-12-24,Oxford/AstraZeneca,2844621
435,Belgium,2021-12-24,Pfizer/BioNTech,14600166
436,Belgium,2021-12-31,Johnson&Johnson,415022
437,Belgium,2021-12-31,Moderna,2320504
438,Belgium,2021-12-31,Oxford/AstraZeneca,2844624
439,Belgium,2021-12-31,Pfizer/BioNTech,14708773
440,Belgium,2022-01-07,Johnson&Johnson,415337
441,Belgium,2022-01-07,Moderna,2972543
442,Belgium,2022-01-07,Oxford/AstraZeneca,2844630
443,Belgium,2022-01-07,Pfizer/BioNTech,14902334
444,Belgium,2022-01-14,Johnson&Johnson,415597
445,Belgium,2022-01-14,Moderna,3525622
446,Belgium,2022-01-14,Oxford/AstraZeneca,2844632
447,Belgium,2022-01-14,Pfizer/BioNTech,15060110
448,Belgium,2022-01-21,Johnson&Johnson,415754
449,Belgium,2022-01-21,Moderna,3846054
450,Belgium,2022-01-21,Oxford/AstraZeneca,2844636
451,Belgium,2022-01-21,Pfizer/BioNTech,15146480
452,Belgium,2022-01-28,Johnson&Johnson,415871
453,Belgium,2022-01-28,Moderna,4006588
454,Belgium,2022-01-28,Oxford/AstraZeneca,2844641
455,Belgium,2022-01-28,Pfizer/BioNTech,15214529
456,Belgium,2022-02-04,Johnson&Johnson,415895
457,Belgium,2022-02-04,Moderna,4098440
458,Belgium,2022-02-04,Oxford/AstraZeneca,2844654
459,Belgium,2022-02-04,Pfizer/BioNTech,15265713
460,Belgium,2022-02-08,Johnson&Johnson,415896
461,Belgium,2022-02-08,Moderna,4110703
462,Belgium,2022-02-08,Oxford/AstraZeneca,2844655
463,Belgium,2022-02-08,Pfizer/BioNTech,15271757
464,Bulgaria,2021-01-01,Pfizer/BioNTech,0
465,Bulgaria,2021-01-08,Moderna,0
466,Bulgaria,2021-01-08,Pfizer/BioNTech,13473
467,Bulgaria,2021-01-15,Moderna,491
468,Bulgaria,2021-01-15,Pfizer/BioNTech,17962
469,Bulgaria,2021-01-22,Moderna,843
470,Bulgaria,2021-01-22,Pfizer/BioNTech,25300
471,Bulgaria,2021-01-29,Moderna,1053
472,Bulgaria,2021-01-29,Pfizer/BioNTech,40072
473,Bulgaria,2021-02-05,Moderna,2207
474,Bulgaria,2021-02-05,Oxford/AstraZeneca,10
475,Bulgaria,2021-02-05,Pfizer/BioNTech,54821
476,Bulgaria,2021-02-12,Moderna,3333
477,Bulgaria,2021-02-12,Oxford/AstraZeneca,2035
478,Bulgaria,2021-02-12,Pfizer/BioNTech,70020
479,Bulgaria,2021-02-19,Moderna,6446
480,Bulgaria,2021-02-19,Oxford/AstraZeneca,28947
481,Bulgaria,2021-02-19,Pfizer/BioNTech,83960
482,Bulgaria,2021-02-26,Moderna,10475
483,Bulgaria,2021-02-26,Oxford/AstraZeneca,97630
484,Bulgaria,2021-02-26,Pfizer/BioNTech,104340
485,Bulgaria,2021-03-05,Moderna,14820
486,Bulgaria,2021-03-05,Oxford/AstraZeneca,143932
487,Bulgaria,2021-03-05,Pfizer/BioNTech,129880
488,Bulgaria,2021-03-12,Moderna,16988
489,Bulgaria,2021-03-12,Oxford/AstraZeneca,174209
490,Bulgaria,2021-03-12,Pfizer/BioNTech,147683
491,Bulgaria,2021-03-19,Moderna,20921
492,Bulgaria,2021-03-19,Oxford/AstraZeneca,179029
493,Bulgaria,2021-03-19,Pfizer/BioNTech,168956
494,Bulgaria,2021-03-26,Moderna,34004
495,Bulgaria,2021-03-26,Oxford/AstraZeneca,206835
496,Bulgaria,2021-03-26,Pfizer/BioNTech,195704
497,Bulgaria,2021-04-02,Moderna,44809
498,Bulgaria,2021-04-02,Oxford/AstraZeneca,230180
499,Bulgaria,2021-04-02,Pfizer/BioNTech,228583
500,Bulgaria,2021-04-09,Moderna,59160
501,Bulgaria,2021-04-09,Oxford/AstraZeneca,238387
502,Bulgaria,2021-04-09,Pfizer/BioNTech,275118
503,Bulgaria,2021-04-16,Johnson&Johnson,0
504,Bulgaria,2021-04-16,Moderna,74318
505,Bulgaria,2021-04-16,Oxford/AstraZeneca,241707
506,Bulgaria,2021-04-16,Pfizer/BioNTech,322422
507,Bulgaria,2021-04-23,Johnson&Johnson,0
508,Bulgaria,2021-04-23,Moderna,93241
509,Bulgaria,2021-04-23,Oxford/AstraZeneca,247383
510,Bulgaria,2021-04-23,Pfizer/BioNTech,382650
511,Bulgaria,2021-04-30,Johnson&Johnson,0
512,Bulgaria,2021-04-30,Moderna,108865
513,Bulgaria,2021-04-30,Oxford/AstraZeneca,263756
